ID,Name,Author,Page_Count,Date_Published
0,A Walk to Remember,Nicholas Sparks,240,1999-10-01
1,Abraham Lincoln,Carl Sandburg,166,2010-01-01
2,Charlie and the Great Glass Elevator,Roald Dahl,202,1972-03-28
3,JoJo's Bizarre Adventure,Hirohiko Araki,136,2018-07-01
4,Love of Maple,Valentine Grimal,60,2018-08-08
5,Pride and Prejudice,Jane Austen,432,2016-01-28
6,Rhymes and Reasons,John Denver,160,1988-01-01
7,The Alchemist,Paulo Coelho,166,1988-01-01
8,The Firm,John Grisham,432,2008-02-01
9,The Hobbit,J.R.R. Tolkien,310,2013-09-21
10,The Other People,C.J. Tudor,416,2020-01-28
11,The Secret Seven,Enid Blyton,120,1949-01-01
12,Three Men in a Boat,Jerome K. Jerome,224,1889-05-23
13,Treasure Island,Robert Louis Stevenson,288,1883-11-14
