                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.91935,                 2.3291,                 1.2156,                0.93585,                0.92374,                0.97601,                0.78063,                 0.7793,                0.66807,                 1.1179,               0.070246,               0.003306,               0.003306
                      1,                0.80791,                0.75727,                 1.0827,                0.94329,                 0.9523,                0.98195,                0.78545,                0.77888,                0.53858,                 1.0864,               0.039983,              0.0063764,              0.0063764
                      2,                0.85076,                0.68284,                 1.0922,                0.91899,                0.92724,                 0.9532,                 0.7482,                 0.8214,                0.57534,                 1.1334,              0.0094561,              0.0091828,              0.0091828
                      3,                0.86452,                0.70174,                 1.1101,                0.89303,                0.94939,                 0.9691,                0.75576,                0.81745,                0.63348,                 1.1388,               0.008812,               0.008812,               0.008812
                      4,                0.86218,                0.67869,                  1.117,                 0.9438,                0.96213,                0.98185,                0.75981,                0.82919,                0.54307,                 1.1252,               0.008812,               0.008812,               0.008812
                      5,                 0.8677,                0.66122,                 1.1102,                0.95104,                 0.9516,                0.97732,                0.75931,                0.78764,                0.48371,                  1.117,               0.008416,               0.008416,               0.008416
                      6,                0.84957,                 0.6077,                 1.1052,                0.93115,                0.96083,                0.97377,                 0.7743,                0.79167,                 0.4703,                 1.1197,                0.00802,                0.00802,                0.00802
                      7,                0.82921,                0.57701,                 1.0908,                0.95199,                0.96517,                0.98598,                0.77351,                0.78579,                0.45586,                 1.1121,               0.007624,               0.007624,               0.007624
                      8,                0.81078,                0.55907,                 1.0838,                0.95406,                0.96653,                0.98671,                0.79144,                0.75349,                0.40972,                 1.0869,               0.007228,               0.007228,               0.007228
                      9,                0.80448,                0.53105,                 1.0829,                0.92281,                0.96732,                 0.9785,                0.78323,                0.76608,                0.45355,                 1.0829,               0.006832,               0.006832,               0.006832
                     10,                0.78681,                0.51352,                 1.0845,                0.96443,                0.97018,                0.98351,                0.78929,                 0.7716,                0.40822,                  1.097,               0.006436,               0.006436,               0.006436
                     11,                0.77645,                0.50753,                 1.0732,                0.96808,                0.96577,                0.99035,                0.79226,                0.76218,                0.39655,                 1.0997,                0.00604,                0.00604,                0.00604
                     12,                0.76879,                0.49547,                 1.0759,                0.97281,                0.95838,                0.98487,                0.80747,                0.73891,                0.38416,                 1.0743,               0.005644,               0.005644,               0.005644
                     13,                0.76185,                0.47818,                  1.066,                0.95623,                0.96328,                0.98559,                0.79338,                0.74005,                0.38119,                 1.0606,               0.005248,               0.005248,               0.005248
                     14,                0.74456,                0.45637,                 1.0609,                0.98047,                 0.9611,                0.98806,                0.81126,                0.75636,                0.36683,                 1.0649,               0.004852,               0.004852,               0.004852
                     15,                0.66343,                 0.3701,                 1.0489,                0.96141,                0.97238,                0.98405,                0.79728,                 0.7691,                 0.4199,                 1.0777,               0.004456,               0.004456,               0.004456
                     16,                0.66751,                0.35985,                 1.0346,                0.96619,                0.94964,                0.98333,                0.79945,                 0.7753,                0.40764,                  1.066,                0.00406,                0.00406,                0.00406
                     17,                0.65489,                0.35543,                 1.0287,                0.97556,                 0.9597,                0.98348,                0.80164,                0.76019,                0.38978,                 1.0632,               0.003664,               0.003664,               0.003664
                     18,                0.63644,                0.34095,                 1.0201,                0.96866,                0.96983,                0.98828,                0.81323,                0.76265,                0.37739,                  1.062,               0.003268,               0.003268,               0.003268
                     19,                 0.6299,                0.33224,                 1.0193,                0.96951,                0.96609,                 0.9874,                0.80963,                0.72854,                0.37069,                 1.0427,               0.002872,               0.002872,               0.002872
                     20,                0.61574,                0.32065,                 1.0042,                0.96188,                0.95792,                0.98681,                0.81696,                0.74453,                0.36049,                 1.0528,               0.002476,               0.002476,               0.002476
                     21,                0.60838,                0.31001,                 1.0069,                0.97454,                0.94699,                0.98534,                0.81889,                0.74388,                0.34477,                 1.0492,                0.00208,                0.00208,                0.00208
                     22,                 0.5984,                0.29588,                0.99475,                0.97457,                 0.9624,                 0.9877,                0.82685,                0.73845,                0.34159,                 1.0499,               0.001684,               0.001684,               0.001684
                     23,                0.58627,                0.28952,                0.98449,                0.97736,                0.96056,                0.98837,                0.81507,                0.72667,                0.33185,                 1.0469,               0.001288,               0.001288,               0.001288
                     24,                0.57793,                0.27605,                0.98795,                0.96779,                0.95104,                0.98878,                0.81998,                0.71864,                0.32543,                 1.0377,               0.000892,               0.000892,               0.000892
